,cpu,gpu,carm,ccore,ch264,cuart,cpwm,chdmi,vcore,sdram_c,sdram_i,sdram_p,coh264,compg2,compg4,cowvc1,comjpg,mcpu,mgpu
93,60.861,60.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
94,62.322,62.0,600169920,199995120,0,47988280,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
95,61.835,61.0,600117184,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
96,61.348,61.0,600117184,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
97,61.348,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
98,60.861,60.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
99,60.861,60.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
100,61.835,62.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
101,62.322,62.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
102,61.348,61.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
103,61.835,61.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
104,62.322,62.0,600169920,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
105,61.835,61.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
106,61.835,61.0,600169920,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
107,61.835,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
108,62.322,62.0,600169920,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
109,61.835,61.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
110,62.322,62.0,600117184,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
111,61.835,61.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
112,61.348,61.0,600169920,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
113,60.861,60.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
114,61.348,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
115,61.348,61.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
116,61.835,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
117,61.835,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
118,60.861,60.0,600169920,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
119,61.835,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
120,62.322,62.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
121,62.322,62.0,750146496,250000496,0,47988280,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
122,61.835,61.0,600169920,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
123,62.322,62.0,600169920,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
124,62.322,62.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
125,62.322,61.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
126,61.348,61.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
127,62.322,62.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
128,62.809,62.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
129,62.809,62.0,600117184,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
